2013-11-19 09:44:05,796 [25] INFO  Umbraco.Core.PluginManager - [Thread 64] Starting resolution types of umbraco.interfaces.ITree
2013-11-19 09:44:05,813 [25] INFO  Umbraco.Core.PluginManager - [Thread 64] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 16ms)
2013-11-19 09:44:33,456 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-11-19 09:44:33,460 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 3ms)
2013-11-19 09:44:33,580 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Starting resolution types of umbraco.interfaces.ITree
2013-11-19 09:44:33,602 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Completed resolution of types of umbraco.interfaces.ITree, found 36 (took 21ms)
2013-11-19 09:45:37,721 [25] INFO  Umbraco.Core.PluginManager - [Thread 52] Starting resolution types of umbraco.interfaces.ICacheRefresher
2013-11-19 09:45:37,730 [25] INFO  Umbraco.Core.PluginManager - [Thread 52] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 8ms)
2013-11-19 09:45:44,479 [25] INFO  Umbraco.Core.PluginManager - [Thread 15] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-11-19 09:45:44,492 [25] INFO  Umbraco.Core.PluginManager - [Thread 15] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 13ms)
2013-11-19 09:45:49,060 [25] INFO  Umbraco.Core.PluginManager - [Thread 52] Starting resolution types of umbraco.interfaces.IDataType
2013-11-19 09:45:49,077 [25] INFO  Umbraco.Core.PluginManager - [Thread 52] Completed resolution of types of umbraco.interfaces.IDataType, found 36 (took 16ms)
2013-11-19 09:45:49,198 [25] INFO  umbraco.content - [Thread 52] Loading content from disk cache...
2013-11-19 09:48:00,273 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Starting resolution types of umbraco.XsltExtensionAttribute
2013-11-19 09:48:00,280 [25] INFO  Umbraco.Core.PluginManager - [Thread 60] Completed resolution of types of umbraco.XsltExtensionAttribute, found 0 (took 6ms)
2013-11-19 09:53:01,886 [25] INFO  umbraco.cms.businesslogic.web.Document - [Thread 56] New document 1079
2013-11-19 09:57:50,471 [25] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 60] Content 'NewsMedMacro' with Id '1079' has been published.
2013-11-19 09:58:23,393 [25] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 67] Content 'NewsMedMacro' with Id '1079' has been published.
2013-11-19 10:21:00,182 [25] INFO  umbraco.BasePages.BasePage - [Thread 31] User TestUser (Id: 1) logged in
2013-11-19 10:29:46,030 [25] INFO  umbraco.BasePages.BasePage - [Thread 53] User admin (Id: 0) logged in
